user_id,movie_id,rating,timestamp,rating_normalized
32,28,3,978122729,0.5
32,32,5,978121599,1.0
32,47,4,978119379,0.75
32,50,3,978123515,0.5
32,247,4,978123831,0.75
32,266,4,978121288,0.75
32,293,4,978123515,0.75
32,457,3,978123831,0.5
32,474,4,978123849,0.75
32,480,2,978118666,0.25
32,551,3,978121273,0.5
32,589,4,978123849,0.75
32,593,5,978123515,1.0
32,608,4,978123515,0.75
32,745,4,978123515,0.75
32,1088,4,978121564,0.75
32,1208,4,978121689,0.75
32,1249,3,978119379,0.5
32,1250,4,978122564,0.75
32,1296,5,978122520,1.0
32,1343,3,978123879,0.5
32,1358,4,978123515,0.75
32,1617,3,978123515,0.5
32,1683,3,978123849,0.5
32,1784,3,978118666,0.5
32,1834,3,978123925,0.5
32,1956,3,978118701,0.5
32,2020,5,978121545,1.0
32,2028,3,978121667,0.5
32,2108,5,978122598,1.0
32,2571,3,978123515,0.5
32,2707,2,978123912,0.25
32,2762,5,978121626,1.0
32,2858,4,978119364,0.75
32,2916,3,978123912,0.5
32,2959,4,978121579,0.75
32,3072,5,978118683,1.0
32,3079,5,978122813,1.0
32,3101,4,978118701,0.75
32,3147,5,978123863,1.0
32,3159,2,978122583,0.25
32,3286,1,978126476,0.0
32,3429,3,978119364,0.5
32,3556,4,978121288,0.75
32,3751,4,978118859,0.75
32,3786,4,978119403,0.75
32,3787,4,978121792,0.75
32,3821,1,978118906,0.0
40,2,5,978040739,1.0
40,60,3,978039958,0.5
40,161,4,978041312,0.75
40,173,2,978040891,0.25
40,258,1,978040922,0.0
40,303,3,978040023,0.5
40,329,3,978039850,0.5
40,356,4,978041224,0.75
40,421,2,978039693,0.25
40,466,4,978041370,0.75
40,524,3,978039301,0.5
40,590,3,978039629,0.5
40,592,2,978039693,0.25
40,653,4,978040023,0.75
40,674,3,978039922,0.5
40,688,3,978040871,0.5
40,733,3,978039850,0.5
40,736,4,978040768,0.75
40,750,4,978041037,0.75
40,780,4,978041342,0.75
40,897,4,978041189,0.75
40,912,5,978041037,1.0
40,919,5,978039514,1.0
40,920,4,978039263,0.75
40,952,3,978039654,0.5
40,969,5,978039514,1.0
